HOCOID SYMBOL ENSEMBL COLLECTION EXPERIMENT QUALITY
ATF4.H12INVIVO.2.SM.B ATF4 ENSG00000128272 H12INVIVO SM B
FOXP2.H12INVIVO.0.P.B FOXP2 ENSG00000128573 H12INVIVO P B
IRF5.H12INVIVO.0.SM.B IRF5 ENSG00000128604 H12INVIVO SM B
IRF5.H12INVIVO.1.S.B IRF5 ENSG00000128604 H12INVIVO S B
FEZF1.H12INVIVO.0.P.B FEZF1 ENSG00000128610 H12INVIVO P B
MYOD1.H12INVIVO.0.P.B MYOD1 ENSG00000129152 H12INVIVO P B
MYOD1.H12INVIVO.1.PSM.A MYOD1 ENSG00000129152 H12INVIVO PSM A
E2F8.H12INVIVO.0.P.C E2F8 ENSG00000129173 H12INVIVO P C
E2F8.H12INVIVO.1.SM.B E2F8 ENSG00000129173 H12INVIVO SM B
SOX15.H12INVIVO.0.P.B SOX15 ENSG00000129194 H12INVIVO P B
FOXA1.H12INVIVO.0.P.B FOXA1 ENSG00000129514 H12INVIVO P B
FOXA1.H12INVIVO.1.S.C FOXA1 ENSG00000129514 H12INVIVO S C
KLF16.H12INVIVO.0.SM.B KLF16 ENSG00000129911 H12INVIVO SM B
KLF16.H12INVIVO.1.P.B KLF16 ENSG00000129911 H12INVIVO P B
JUND.H12INVIVO.0.PM.A JUND ENSG00000130522 H12INVIVO PM A
JUND.H12INVIVO.1.SM.B JUND ENSG00000130522 H12INVIVO SM B
MNX1.H12INVIVO.0.SM.D MNX1 ENSG00000130675 H12INVIVO SM D
GATA5.H12INVIVO.0.SM.D GATA5 ENSG00000130700 H12INVIVO SM D
CDX4.H12INVIVO.0.S.D CDX4 ENSG00000131264 H12INVIVO S D
CDX4.H12INVIVO.1.M.D CDX4 ENSG00000131264 H12INVIVO M D
NR1H2.H12INVIVO.0.P.C NR1H2 ENSG00000131408 H12INVIVO P C
NR1H2.H12INVIVO.1.P.C NR1H2 ENSG00000131408 H12INVIVO P C
BARX1.H12INVIVO.0.P.C BARX1 ENSG00000131668 H12INVIVO P C
BARX1.H12INVIVO.1.S.B BARX1 ENSG00000131668 H12INVIVO S B
RARA.H12INVIVO.0.PSM.A RARA ENSG00000131759 H12INVIVO PSM A
RARA.H12INVIVO.1.P.B RARA ENSG00000131759 H12INVIVO P B
RARA.H12INVIVO.2.P.B RARA ENSG00000131759 H12INVIVO P B
RARA.H12INVIVO.3.P.B RARA ENSG00000131759 H12INVIVO P B
THAP1.H12INVIVO.0.P.B THAP1 ENSG00000131931 H12INVIVO P B
PPARG.H12INVIVO.0.P.B PPARG ENSG00000132170 H12INVIVO P B
PPARG.H12INVIVO.1.P.B PPARG ENSG00000132170 H12INVIVO P B
BMAL1.H12INVIVO.0.PSM.A BMAL1 ENSG00000133794 H12INVIVO PSM A
GSC.H12INVIVO.0.SM.D GSC ENSG00000133937 H12INVIVO SM D
MEIS2.H12INVIVO.0.P.C MEIS2 ENSG00000134138 H12INVIVO P C
MEIS2.H12INVIVO.1.PSM.A MEIS2 ENSG00000134138 H12INVIVO PSM A
MEIS2.H12INVIVO.2.SM.B MEIS2 ENSG00000134138 H12INVIVO SM B
GRHL1.H12INVIVO.0.PSM.A GRHL1 ENSG00000134317 H12INVIVO PSM A
GRHL1.H12INVIVO.1.PS.A GRHL1 ENSG00000134317 H12INVIVO PS A
MYCN.H12INVIVO.0.PS.A MYCN ENSG00000134323 H12INVIVO PS A
MYCN.H12INVIVO.1.M.C MYCN ENSG00000134323 H12INVIVO M C
RX.H12INVIVO.0.SM.D RX ENSG00000134438 H12INVIVO SM D
SOX5.H12INVIVO.0.P.B SOX5 ENSG00000134532 H12INVIVO P B
SOX3.H12INVIVO.0.PM.A SOX3 ENSG00000134595 H12INVIVO PM A
SOX3.H12INVIVO.1.S.C SOX3 ENSG00000134595 H12INVIVO S C
CLOCK.H12INVIVO.0.M.C CLOCK ENSG00000134852 H12INVIVO M C
CLOCK.H12INVIVO.1.PS.A CLOCK ENSG00000134852 H12INVIVO PS A
ETS1.H12INVIVO.0.S.B ETS1 ENSG00000134954 H12INVIVO S B
ETS1.H12INVIVO.1.P.B ETS1 ENSG00000134954 H12INVIVO P B
HNF1A.H12INVIVO.0.PS.A HNF1A ENSG00000135100 H12INVIVO PS A
TBX3.H12INVIVO.0.PSM.A TBX3 ENSG00000135111 H12INVIVO PSM A
EHF.H12INVIVO.0.P.B EHF ENSG00000135373 H12INVIVO P B
ELF5.H12INVIVO.0.PSM.A ELF5 ENSG00000135374 H12INVIVO PSM A
ELF5.H12INVIVO.1.S.B ELF5 ENSG00000135374 H12INVIVO S B
TFCP2.H12INVIVO.0.SM.D TFCP2 ENSG00000135457 H12INVIVO SM D
TFCP2.H12INVIVO.1.SM.D TFCP2 ENSG00000135457 H12INVIVO SM D
TFCP2.H12INVIVO.2.S.D TFCP2 ENSG00000135457 H12INVIVO S D
HEY2.H12INVIVO.0.S.D HEY2 ENSG00000135547 H12INVIVO S D
EGR4.H12INVIVO.0.S.D EGR4 ENSG00000135625 H12INVIVO S D
EMX1.H12INVIVO.0.SM.D EMX1 ENSG00000135638 H12INVIVO SM D
PAX3.H12INVIVO.0.PS.A PAX3 ENSG00000135903 H12INVIVO PS A
PAX3.H12INVIVO.1.SM.B PAX3 ENSG00000135903 H12INVIVO SM B
PAX3.H12INVIVO.2.P.C PAX3 ENSG00000135903 H12INVIVO P C
PAX3.H12INVIVO.3.S.B PAX3 ENSG00000135903 H12INVIVO S B
P63.H12INVIVO.0.PS.A P63 ENSG00000073282 H12INVIVO PS A
P63.H12INVIVO.1.PS.A P63 ENSG00000073282 H12INVIVO PS A
VEZF1.H12INVIVO.0.P.C VEZF1 ENSG00000136451 H12INVIVO P C
VEZF1.H12INVIVO.1.P.B VEZF1 ENSG00000136451 H12INVIVO P B
TBR1.H12INVIVO.0.PS.A TBR1 ENSG00000136535 H12INVIVO PS A
KLF4.H12INVIVO.0.PSM.A KLF4 ENSG00000136826 H12INVIVO PSM A
ZFP37.H12INVIVO.0.P.C ZFP37 ENSG00000136866 H12INVIVO P C
LMX1B.H12INVIVO.0.P.C LMX1B ENSG00000136944 H12INVIVO P C
LMX1B.H12INVIVO.1.SM.B LMX1B ENSG00000136944 H12INVIVO SM B
LMX1B.H12INVIVO.2.S.B LMX1B ENSG00000136944 H12INVIVO S B
MYC.H12INVIVO.0.P.B MYC ENSG00000136997 H12INVIVO P B
DMRT1.H12INVIVO.0.PS.A DMRT1 ENSG00000137090 H12INVIVO PS A
DMRT1.H12INVIVO.1.M.C DMRT1 ENSG00000137090 H12INVIVO M C
IRF4.H12INVIVO.0.P.B IRF4 ENSG00000137265 H12INVIVO P B
IRF4.H12INVIVO.1.S.B IRF4 ENSG00000137265 H12INVIVO S B
IRF4.H12INVIVO.2.SM.B IRF4 ENSG00000137265 H12INVIVO SM B
GCM1.H12INVIVO.0.S.D GCM1 ENSG00000137270 H12INVIVO S D
HMGA1.H12INVIVO.0.P.B HMGA1 ENSG00000137309 H12INVIVO P B
SIX3.H12INVIVO.0.SM.D SIX3 ENSG00000138083 H12INVIVO SM D
STAT4.H12INVIVO.0.P.B STAT4 ENSG00000138378 H12INVIVO P B
PRDM5.H12INVIVO.0.P.B PRDM5 ENSG00000138738 H12INVIVO P B
PRDM5.H12INVIVO.1.P.B PRDM5 ENSG00000138738 H12INVIVO P B
LEF1.H12INVIVO.0.PSM.A LEF1 ENSG00000138795 H12INVIVO PSM A
LEF1.H12INVIVO.1.P.B LEF1 ENSG00000138795 H12INVIVO P B
ASCL1.H12INVIVO.0.PSM.A ASCL1 ENSG00000139352 H12INVIVO PSM A
PDX1.H12INVIVO.0.P.B PDX1 ENSG00000139515 H12INVIVO P B
PDX1.H12INVIVO.1.PSM.A PDX1 ENSG00000139515 H12INVIVO PSM A
MBNL2.H12INVIVO.0.S.D MBNL2 ENSG00000139793 H12INVIVO S D
ZIC5.H12INVIVO.0.P.B ZIC5 ENSG00000139800 H12INVIVO P B
ZIC5.H12INVIVO.1.M.C ZIC5 ENSG00000139800 H12INVIVO M C
ZIC5.H12INVIVO.2.S.C ZIC5 ENSG00000139800 H12INVIVO S C
ESR2.H12INVIVO.0.P.B ESR2 ENSG00000140009 H12INVIVO P B
ESR2.H12INVIVO.1.P.B ESR2 ENSG00000140009 H12INVIVO P B
JDP2.H12INVIVO.0.SM.D JDP2 ENSG00000140044 H12INVIVO SM D
HTF4.H12INVIVO.0.PSM.A HTF4 ENSG00000140262 H12INVIVO PSM A
IRF8.H12INVIVO.0.P.B IRF8 ENSG00000140968 H12INVIVO P B
IRF8.H12INVIVO.1.SM.B IRF8 ENSG00000140968 H12INVIVO SM B
IRF8.H12INVIVO.2.SM.B IRF8 ENSG00000140968 H12INVIVO SM B
GATA6.H12INVIVO.0.PSM.A GATA6 ENSG00000141448 H12INVIVO PSM A
P53.H12INVIVO.0.P.B P53 ENSG00000141510 H12INVIVO P B
P53.H12INVIVO.1.S.C P53 ENSG00000141510 H12INVIVO S C
FOXK2.H12INVIVO.0.P.B FOXK2 ENSG00000141568 H12INVIVO P B
SMAD4.H12INVIVO.0.P.B SMAD4 ENSG00000141646 H12INVIVO P B
SMAD4.H12INVIVO.1.P.B SMAD4 ENSG00000141646 H12INVIVO P B
NFIC.H12INVIVO.0.PSM.A NFIC ENSG00000141905 H12INVIVO PSM A
NFIC.H12INVIVO.1.PSM.A NFIC ENSG00000141905 H12INVIVO PSM A
ZIM3.H12INVIVO.0.P.B ZIM3 ENSG00000141946 H12INVIVO P B
ZFP14.H12INVIVO.0.P.C ZFP14 ENSG00000142065 H12INVIVO P C
RXRG.H12INVIVO.0.P.B RXRG ENSG00000143171 H12INVIVO P B
RXRG.H12INVIVO.1.SM.B RXRG ENSG00000143171 H12INVIVO SM B
RXRG.H12INVIVO.2.P.B RXRG ENSG00000143171 H12INVIVO P B
TBX19.H12INVIVO.0.PS.A TBX19 ENSG00000143178 H12INVIVO PS A
TBX19.H12INVIVO.1.SM.B TBX19 ENSG00000143178 H12INVIVO SM B
NR1I3.H12INVIVO.0.P.B NR1I3 ENSG00000143257 H12INVIVO P B
NR1I3.H12INVIVO.1.PSM.A NR1I3 ENSG00000143257 H12INVIVO PSM A
NR1I3.H12INVIVO.2.M.C NR1I3 ENSG00000143257 H12INVIVO M C
LHX9.H12INVIVO.0.PS.A LHX9 ENSG00000143355 H12INVIVO PS A
LHX9.H12INVIVO.1.M.B LHX9 ENSG00000143355 H12INVIVO M B
RORG.H12INVIVO.0.M.C RORG ENSG00000143365 H12INVIVO M C
RORG.H12INVIVO.1.PS.A RORG ENSG00000143365 H12INVIVO PS A
RFX5.H12INVIVO.0.P.B RFX5 ENSG00000143390 H12INVIVO P B
RFX5.H12INVIVO.1.PSM.A RFX5 ENSG00000143390 H12INVIVO PSM A
RFX5.H12INVIVO.2.S.B RFX5 ENSG00000143390 H12INVIVO S B
ARNT.H12INVIVO.0.P.B ARNT ENSG00000143437 H12INVIVO P B
ARNT.H12INVIVO.1.P.B ARNT ENSG00000143437 H12INVIVO P B
SOX13.H12INVIVO.0.P.B SOX13 ENSG00000143842 H12INVIVO P B
OSR1.H12INVIVO.0.SM.D OSR1 ENSG00000143867 H12INVIVO SM D
MEIS1.H12INVIVO.0.P.B MEIS1 ENSG00000143995 H12INVIVO P B
MEIS1.H12INVIVO.1.PS.A MEIS1 ENSG00000143995 H12INVIVO PS A
NR1I2.H12INVIVO.0.M.D NR1I2 ENSG00000144852 H12INVIVO M D
NR1I2.H12INVIVO.1.S.D NR1I2 ENSG00000144852 H12INVIVO S D
RBAK.H12INVIVO.0.P.C RBAK ENSG00000146587 H12INVIVO P C
CREB5.H12INVIVO.0.P.B CREB5 ENSG00000146592 H12INVIVO P B
CREB5.H12INVIVO.1.SM.B CREB5 ENSG00000146592 H12INVIVO SM B
ZNF41.H12INVIVO.0.P.C ZNF41 ENSG00000147124 H12INVIVO P C
ZNF41.H12INVIVO.1.P.C ZNF41 ENSG00000147124 H12INVIVO P C
TAF1.H12INVIVO.0.P.B TAF1 ENSG00000147133 H12INVIVO P B
ZNF7.H12INVIVO.0.P.B ZNF7 ENSG00000147789 H12INVIVO P B
NFIB.H12INVIVO.0.PSM.A NFIB ENSG00000147862 H12INVIVO PSM A
NFIB.H12INVIVO.1.PS.A NFIB ENSG00000147862 H12INVIVO PS A
NR6A1.H12INVIVO.0.P.C NR6A1 ENSG00000148200 H12INVIVO P C
NR6A1.H12INVIVO.1.P.C NR6A1 ENSG00000148200 H12INVIVO P C
NR6A1.H12INVIVO.2.SM.B NR6A1 ENSG00000148200 H12INVIVO SM B
ZEB1.H12INVIVO.0.P.B ZEB1 ENSG00000148516 H12INVIVO P B
VAX1.H12INVIVO.0.SM.D VAX1 ENSG00000148704 H12INVIVO SM D
TBX6.H12INVIVO.0.PSM.A TBX6 ENSG00000149922 H12INVIVO PSM A
FOXO1.H12INVIVO.0.PS.A FOXO1 ENSG00000150907 H12INVIVO PS A
NPAS3.H12INVIVO.0.P.C NPAS3 ENSG00000151322 H12INVIVO P C
MSGN1.H12INVIVO.0.PSM.A MSGN1 ENSG00000151379 H12INVIVO PSM A
VENTX.H12INVIVO.0.SM.D VENTX ENSG00000151650 H12INVIVO SM D
VENTX.H12INVIVO.1.S.D VENTX ENSG00000151650 H12INVIVO S D
ZIC1.H12INVIVO.0.P.B ZIC1 ENSG00000152977 H12INVIVO P B
ZIC1.H12INVIVO.1.M.B ZIC1 ENSG00000152977 H12INVIVO M B
ZIC1.H12INVIVO.2.S.B ZIC1 ENSG00000152977 H12INVIVO S B
NR4A2.H12INVIVO.0.SM.D NR4A2 ENSG00000153234 H12INVIVO SM D
CEBPG.H12INVIVO.0.P.B CEBPG ENSG00000153879 H12INVIVO P B
CEBPG.H12INVIVO.1.SM.B CEBPG ENSG00000153879 H12INVIVO SM B
CEBPG.H12INVIVO.2.P.B CEBPG ENSG00000153879 H12INVIVO P B
GABPA.H12INVIVO.0.PSM.A GABPA ENSG00000154727 H12INVIVO PSM A
ZNF18.H12INVIVO.0.P.B ZNF18 ENSG00000154957 H12INVIVO P B
KLF10.H12INVIVO.0.P.C KLF10 ENSG00000155090 H12INVIVO P C
KLF10.H12INVIVO.1.PSM.A KLF10 ENSG00000155090 H12INVIVO PSM A
BATF.H12INVIVO.0.P.B BATF ENSG00000156127 H12INVIVO P B
BATF.H12INVIVO.1.P.B BATF ENSG00000156127 H12INVIVO P B
ALX3.H12INVIVO.0.SM.D ALX3 ENSG00000156150 H12INVIVO SM D
ALX3.H12INVIVO.1.S.D ALX3 ENSG00000156150 H12INVIVO S D
BACH1.H12INVIVO.0.P.B BACH1 ENSG00000156273 H12INVIVO P B
ZIC3.H12INVIVO.0.P.B ZIC3 ENSG00000156925 H12INVIVO P B
ZIC3.H12INVIVO.1.S.B ZIC3 ENSG00000156925 H12INVIVO S B
ZIC3.H12INVIVO.2.M.B ZIC3 ENSG00000156925 H12INVIVO M B
ERG.H12INVIVO.0.P.B ERG ENSG00000157554 H12INVIVO P B
ERG.H12INVIVO.1.SM.B ERG ENSG00000157554 H12INVIVO SM B
ETS2.H12INVIVO.0.S.C ETS2 ENSG00000157557 H12INVIVO S C
ETS2.H12INVIVO.1.P.B ETS2 ENSG00000157557 H12INVIVO P B
ETV6.H12INVIVO.0.PS.A ETV6 ENSG00000139083 H12INVIVO PS A
ETV6.H12INVIVO.1.P.B ETV6 ENSG00000139083 H12INVIVO P B
ELK4.H12INVIVO.0.PSM.A ELK4 ENSG00000158711 H12INVIVO PSM A
USF1.H12INVIVO.0.PSM.A USF1 ENSG00000158773 H12INVIVO PSM A
RUNX1.H12INVIVO.0.P.B RUNX1 ENSG00000159216 H12INVIVO P B
ISL2.H12INVIVO.0.SM.D ISL2 ENSG00000159556 H12INVIVO SM D
NR2F6.H12INVIVO.0.P.C NR2F6 ENSG00000160113 H12INVIVO P C
NR2F6.H12INVIVO.1.PSM.A NR2F6 ENSG00000160113 H12INVIVO PSM A
NR2F6.H12INVIVO.2.SM.B NR2F6 ENSG00000160113 H12INVIVO SM B
NR2F6.H12INVIVO.3.SM.B NR2F6 ENSG00000160113 H12INVIVO SM B
HES1.H12INVIVO.0.S.D HES1 ENSG00000114315 H12INVIVO S D
HES1.H12INVIVO.1.S.D HES1 ENSG00000114315 H12INVIVO S D
FOXH1.H12INVIVO.0.P.B FOXH1 ENSG00000160973 H12INVIVO P B
BCL6B.H12INVIVO.0.PSM.A BCL6B ENSG00000161940 H12INVIVO PSM A
TAL1.H12INVIVO.0.P.B TAL1 ENSG00000162367 H12INVIVO P B
TAL1.H12INVIVO.1.P.B TAL1 ENSG00000162367 H12INVIVO P B
TAL1.H12INVIVO.2.P.B TAL1 ENSG00000162367 H12INVIVO P B
GMEB1.H12INVIVO.0.P.C GMEB1 ENSG00000162419 H12INVIVO P C
GMEB1.H12INVIVO.1.P.C GMEB1 ENSG00000162419 H12INVIVO P C
GMEB1.H12INVIVO.2.SM.B GMEB1 ENSG00000162419 H12INVIVO SM B
NFIA.H12INVIVO.0.P.B NFIA ENSG00000162599 H12INVIVO P B
NFIA.H12INVIVO.1.PS.A NFIA ENSG00000162599 H12INVIVO PS A
LHX8.H12INVIVO.0.S.D LHX8 ENSG00000162624 H12INVIVO S D
LHX8.H12INVIVO.1.M.D LHX8 ENSG00000162624 H12INVIVO M D
HEN1.H12INVIVO.0.S.D HEN1 ENSG00000171786 H12INVIVO S D
GFI1.H12INVIVO.0.PSM.A GFI1 ENSG00000162676 H12INVIVO PSM A
LMX1A.H12INVIVO.0.SM.D LMX1A ENSG00000162761 H12INVIVO SM D
ATF3.H12INVIVO.0.P.B ATF3 ENSG00000162772 H12INVIVO P B
ATF3.H12INVIVO.1.P.B ATF3 ENSG00000162772 H12INVIVO P B
ATF3.H12INVIVO.2.P.B ATF3 ENSG00000162772 H12INVIVO P B
ATF3.H12INVIVO.3.SM.B ATF3 ENSG00000162772 H12INVIVO SM B
REL.H12INVIVO.0.P.B REL ENSG00000162924 H12INVIVO P B
MSX1.H12INVIVO.0.SM.D MSX1 ENSG00000163132 H12INVIVO SM D
MSX1.H12INVIVO.1.S.D MSX1 ENSG00000163132 H12INVIVO S D
ELF3.H12INVIVO.0.S.B ELF3 ENSG00000163435 H12INVIVO S B
ELF3.H12INVIVO.1.PM.A ELF3 ENSG00000163435 H12INVIVO PM A
FEV.H12INVIVO.0.S.B FEV ENSG00000163497 H12INVIVO S B
EOMES.H12INVIVO.0.PSM.A EOMES ENSG00000163508 H12INVIVO PSM A
HESX1.H12INVIVO.0.SM.D HESX1 ENSG00000163666 H12INVIVO SM D
HESX1.H12INVIVO.1.S.D HESX1 ENSG00000163666 H12INVIVO S D
KLF15.H12INVIVO.0.S.B KLF15 ENSG00000163884 H12INVIVO S B
KLF15.H12INVIVO.1.P.C KLF15 ENSG00000163884 H12INVIVO P C
PITX2.H12INVIVO.0.SM.D PITX2 ENSG00000164093 H12INVIVO SM D
HAND2.H12INVIVO.0.P.B HAND2 ENSG00000164107 H12INVIVO P B
HAND2.H12INVIVO.1.P.B HAND2 ENSG00000164107 H12INVIVO P B
HAND2.H12INVIVO.2.S.C HAND2 ENSG00000164107 H12INVIVO S C
COE1.H12INVIVO.0.P.B COE1 ENSG00000164330 H12INVIVO P B
TLX3.H12INVIVO.0.SM.D TLX3 ENSG00000164438 H12INVIVO SM D
TBXT.H12INVIVO.0.PS.A TBXT ENSG00000164458 H12INVIVO PS A
TBXT.H12INVIVO.1.PSM.A TBXT ENSG00000164458 H12INVIVO PSM A
TBX20.H12INVIVO.0.P.C TBX20 ENSG00000164532 H12INVIVO P C
TBX20.H12INVIVO.1.M.C TBX20 ENSG00000164532 H12INVIVO M C
TBX20.H12INVIVO.2.SM.B TBX20 ENSG00000164532 H12INVIVO SM B
ZNF12.H12INVIVO.0.P.C ZNF12 ENSG00000164631 H12INVIVO P C
ZNF12.H12INVIVO.1.M.C ZNF12 ENSG00000164631 H12INVIVO M C
ZNF12.H12INVIVO.2.S.C ZNF12 ENSG00000164631 H12INVIVO S C
SP8.H12INVIVO.0.SM.D SP8 ENSG00000164651 H12INVIVO SM D
HEY1.H12INVIVO.0.S.D HEY1 ENSG00000164683 H12INVIVO S D
SOX17.H12INVIVO.0.PS.A SOX17 ENSG00000164736 H12INVIVO PS A
SOX17.H12INVIVO.1.P.B SOX17 ENSG00000164736 H12INVIVO P B
SOX17.H12INVIVO.2.S.C SOX17 ENSG00000164736 H12INVIVO S C
HNF4G.H12INVIVO.0.P.B HNF4G ENSG00000164749 H12INVIVO P B
GBX1.H12INVIVO.0.S.D GBX1 ENSG00000164900 H12INVIVO S D
GBX1.H12INVIVO.1.S.D GBX1 ENSG00000164900 H12INVIVO S D
FOXK1.H12INVIVO.0.PS.A FOXK1 ENSG00000164916 H12INVIVO PS A
OSR2.H12INVIVO.0.PSM.A OSR2 ENSG00000164920 H12INVIVO PSM A
OSR2.H12INVIVO.1.M.C OSR2 ENSG00000164920 H12INVIVO M C
NFIL3.H12INVIVO.0.P.B NFIL3 ENSG00000165030 H12INVIVO P B
NFIL3.H12INVIVO.1.S.B NFIL3 ENSG00000165030 H12INVIVO S B
CDX2.H12INVIVO.0.PS.A CDX2 ENSG00000165556 H12INVIVO PS A
CDX2.H12INVIVO.1.M.C CDX2 ENSG00000165556 H12INVIVO M C
OTX2.H12INVIVO.0.PSM.A OTX2 ENSG00000165588 H12INVIVO PSM A
DRGX.H12INVIVO.0.S.D DRGX ENSG00000165606 H12INVIVO S D
DRGX.H12INVIVO.1.SM.D DRGX ENSG00000165606 H12INVIVO SM D
GFI1B.H12INVIVO.0.PSM.A GFI1B ENSG00000165702 H12INVIVO PSM A
GFI1B.H12INVIVO.1.S.C GFI1B ENSG00000165702 H12INVIVO S C
E2F7.H12INVIVO.0.S.C E2F7 ENSG00000165891 H12INVIVO S C
E2F7.H12INVIVO.1.P.B E2F7 ENSG00000165891 H12INVIVO P B
ZNF3.H12INVIVO.0.P.B ZNF3 ENSG00000166526 H12INVIVO P B
MESP1.H12INVIVO.0.S.D MESP1 ENSG00000166823 H12INVIVO S D
STAT6.H12INVIVO.0.P.B STAT6 ENSG00000166888 H12INVIVO P B
SMAD3.H12INVIVO.0.S.B SMAD3 ENSG00000166949 H12INVIVO S B
SMAD3.H12INVIVO.1.P.B SMAD3 ENSG00000166949 H12INVIVO P B
SMAD3.H12INVIVO.2.P.C SMAD3 ENSG00000166949 H12INVIVO P C
TEF.H12INVIVO.0.SM.D TEF ENSG00000167074 H12INVIVO SM D
PBX3.H12INVIVO.0.P.B PBX3 ENSG00000167081 H12INVIVO P B
PBX3.H12INVIVO.1.P.B PBX3 ENSG00000167081 H12INVIVO P B
PRRX2.H12INVIVO.0.SM.D PRRX2 ENSG00000167157 H12INVIVO SM D
PRRX2.H12INVIVO.1.S.D PRRX2 ENSG00000167157 H12INVIVO S D
SP2.H12INVIVO.0.P.D SP2 ENSG00000167182 H12INVIVO P D
SP2.H12INVIVO.1.P.B SP2 ENSG00000167182 H12INVIVO P B
ZNF23.H12INVIVO.0.P.C ZNF23 ENSG00000167377 H12INVIVO P C
OZF.H12INVIVO.0.P.B OZF ENSG00000167635 H12INVIVO P B
E4F1.H12INVIVO.0.P.B E4F1 ENSG00000167967 H12INVIVO P B
PTF1A.H12INVIVO.0.P.B PTF1A ENSG00000168267 H12INVIVO P B
PTF1A.H12INVIVO.1.PS.A PTF1A ENSG00000168267 H12INVIVO PS A
FOXI1.H12INVIVO.0.SM.D FOXI1 ENSG00000168269 H12INVIVO SM D
IRF2.H12INVIVO.0.PSM.A IRF2 ENSG00000168310 H12INVIVO PSM A
GBX2.H12INVIVO.0.SM.D GBX2 ENSG00000168505 H12INVIVO SM D
GBX2.H12INVIVO.1.S.D GBX2 ENSG00000168505 H12INVIVO S D
STAT3.H12INVIVO.0.P.B STAT3 ENSG00000168610 H12INVIVO P B
ATF1.H12INVIVO.0.P.B ATF1 ENSG00000123268 H12INVIVO P B
ATF1.H12INVIVO.1.P.B ATF1 ENSG00000123268 H12INVIVO P B
ATF2.H12INVIVO.0.PSM.A ATF2 ENSG00000115966 H12INVIVO PSM A
ATF2.H12INVIVO.1.P.B ATF2 ENSG00000115966 H12INVIVO P B
ZNF30.H12INVIVO.0.P.C ZNF30 ENSG00000168661 H12INVIVO P C
SHOX2.H12INVIVO.0.S.D SHOX2 ENSG00000168779 H12INVIVO S D
SHOX2.H12INVIVO.1.S.D SHOX2 ENSG00000168779 H12INVIVO S D
ATOH8.H12INVIVO.0.P.C ATOH8 ENSG00000168874 H12INVIVO P C
SOX14.H12INVIVO.0.SM.D SOX14 ENSG00000168875 H12INVIVO SM D
E2F6.H12INVIVO.0.P.B E2F6 ENSG00000169016 H12INVIVO P B
ZEB2.H12INVIVO.0.P.B ZEB2 ENSG00000169554 H12INVIVO P B
HIC2.H12INVIVO.0.P.B HIC2 ENSG00000169635 H12INVIVO P B
ZNF32.H12INVIVO.0.SM.D ZNF32 ENSG00000169740 H12INVIVO SM D
GSX1.H12INVIVO.0.SM.D GSX1 ENSG00000169840 H12INVIVO SM D
HNF6.H12INVIVO.0.PM.A HNF6 ENSG00000169856 H12INVIVO PM A
HNF6.H12INVIVO.1.S.B HNF6 ENSG00000169856 H12INVIVO S B
HNF6.H12INVIVO.2.S.B HNF6 ENSG00000169856 H12INVIVO S B
HNF6.H12INVIVO.3.M.B HNF6 ENSG00000169856 H12INVIVO M B
FOS.H12INVIVO.0.P.B FOS ENSG00000170345 H12INVIVO P B
FOS.H12INVIVO.1.S.C FOS ENSG00000170345 H12INVIVO S C
FOS.H12INVIVO.2.S.C FOS ENSG00000170345 H12INVIVO S C
EMX2.H12INVIVO.0.S.D EMX2 ENSG00000170370 H12INVIVO S D
NPAS2.H12INVIVO.0.M.D NPAS2 ENSG00000170485 H12INVIVO M D
NPAS2.H12INVIVO.1.M.D NPAS2 ENSG00000170485 H12INVIVO M D
NPAS2.H12INVIVO.2.S.D NPAS2 ENSG00000170485 H12INVIVO S D
IRX1.H12INVIVO.0.S.D IRX1 ENSG00000170549 H12INVIVO S D
IRX2.H12INVIVO.0.S.D IRX2 ENSG00000170561 H12INVIVO S D
SIX2.H12INVIVO.0.P.B SIX2 ENSG00000170577 H12INVIVO P B
SIX2.H12INVIVO.1.M.C SIX2 ENSG00000170577 H12INVIVO M C
SIX2.H12INVIVO.2.SM.B SIX2 ENSG00000170577 H12INVIVO SM B
STAT2.H12INVIVO.0.P.B STAT2 ENSG00000170581 H12INVIVO P B
FOXA3.H12INVIVO.0.PS.A FOXA3 ENSG00000170608 H12INVIVO PS A
FOXA3.H12INVIVO.1.M.C FOXA3 ENSG00000170608 H12INVIVO M C
ZNF16.H12INVIVO.0.P.C ZNF16 ENSG00000170631 H12INVIVO P C
ATF7.H12INVIVO.0.PSM.A ATF7 ENSG00000170653 H12INVIVO PSM A
JUNB.H12INVIVO.0.PM.A JUNB ENSG00000171223 H12INVIVO PM A
JUNB.H12INVIVO.1.S.C JUNB ENSG00000171223 H12INVIVO S C
ZIK1.H12INVIVO.0.P.C ZIK1 ENSG00000171649 H12INVIVO P C
KLF17.H12INVIVO.0.M.C KLF17 ENSG00000171872 H12INVIVO M C
KLF17.H12INVIVO.1.P.C KLF17 ENSG00000171872 H12INVIVO P C
FOXB1.H12INVIVO.0.SM.D FOXB1 ENSG00000171956 H12INVIVO SM D
KLF11.H12INVIVO.0.P.B KLF11 ENSG00000172059 H12INVIVO P B
KLF11.H12INVIVO.1.SM.B KLF11 ENSG00000172059 H12INVIVO SM B
CEBPB.H12INVIVO.0.P.B CEBPB ENSG00000172216 H12INVIVO P B
CEBPB.H12INVIVO.1.SM.B CEBPB ENSG00000172216 H12INVIVO SM B
