SYMBOL ENSEMBL HOCOID
Lef1 ENSMUSG00000027985 LEF1.0.PSM.A
Lef1 ENSMUSG00000027985 LEF1.1.P.B
Lhx1 ENSMUSG00000018698 LHX1.0.S.D
Lhx1 ENSMUSG00000018698 LHX1.1.M.D
Lhx2 ENSMUSG00000000247 LHX2.0.PS.A
Lhx2 ENSMUSG00000000247 LHX2.1.S.C
Lhx3 ENSMUSG00000026934 LHX3.0.P.B
Lhx4 ENSMUSG00000026468 LHX4.0.SM.D
Lhx5 ENSMUSG00000029595 LHX5.0.PSM.D
Lhx6 ENSMUSG00000026890 LHX6.0.P.B
Lhx6 ENSMUSG00000026890 LHX6.1.S.B
Lhx6 ENSMUSG00000026890 LHX6.2.M.C
Lhx8 ENSMUSG00000096225 LHX8.0.S.D
Lhx8 ENSMUSG00000096225 LHX8.1.M.D
Lhx9 ENSMUSG00000019230 LHX9.0.PS.A
Lhx9 ENSMUSG00000019230 LHX9.1.M.B
Lmx1a ENSMUSG00000026686 LMX1A.0.SM.D
Lmx1b ENSMUSG00000038765 LMX1B.0.P.C
Lmx1b ENSMUSG00000038765 LMX1B.1.SM.B
Lmx1b ENSMUSG00000038765 LMX1B.2.S.B
Lrrfip1 ENSMUSG00000026305 LRRF1.0.P.B
Lyl1 ENSMUSG00000034041 LYL1.0.P.C
Lyl1 ENSMUSG00000034041 LYL1.1.P.C
Mxd4 ENSMUSG00000037235 MAD4.0.P.C
Maf ENSMUSG00000055435 MAF.0.PM.A
Maf ENSMUSG00000055435 MAF.1.PSM.A
Mafa ENSMUSG00000047591 MAFA.0.PSM.A
Mafa ENSMUSG00000047591 MAFA.1.M.C
Mafb ENSMUSG00000074622 MAFB.0.PS.A
Mafb ENSMUSG00000074622 MAFB.1.P.B
Maff ENSMUSG00000042622 MAFF.0.PSM.A
Maff ENSMUSG00000042622 MAFF.1.PSM.A
Mafg ENSMUSG00000051510 MAFG.0.PSM.A
Mafg ENSMUSG00000051510 MAFG.1.PSM.A
Mafk ENSMUSG00000018143 MAFK.0.PS.A
Mafk ENSMUSG00000018143 MAFK.1.P.B
Mafk ENSMUSG00000018143 MAFK.2.S.B
Max ENSMUSG00000059436 MAX.0.PS.A
Max ENSMUSG00000059436 MAX.1.M.C
Max ENSMUSG00000059436 MAX.2.S.C
Maz ENSMUSG00000030678 MAZ.0.P.B
Maz ENSMUSG00000030678 MAZ.1.P.B
Mbnl2 ENSMUSG00000022139 MBNL2.0.S.D
Nr3c2 ENSMUSG00000031618 MCR.0.S.D
Nr3c2 ENSMUSG00000031618 MCR.1.SM.D
Mef2a ENSMUSG00000030557 MEF2A.0.P.B
Mef2b ENSMUSG00000079033 MEF2B.0.PS.A
Mef2b ENSMUSG00000079033 MEF2B.1.SM.B
Mef2c ENSMUSG00000005583 MEF2C.0.P.B
Mef2c ENSMUSG00000005583 MEF2C.1.SM.B
Mef2d ENSMUSG00000001419 MEF2D.0.PS.A
Mef2d ENSMUSG00000001419 MEF2D.1.M.C
Meis1 ENSMUSG00000020160 MEIS1.0.P.B
Meis1 ENSMUSG00000020160 MEIS1.1.PS.A
Meis2 ENSMUSG00000027210 MEIS2.0.P.C
Meis2 ENSMUSG00000027210 MEIS2.1.PSM.A
Meis2 ENSMUSG00000027210 MEIS2.2.SM.B
Meis3 ENSMUSG00000041420 MEIS3.0.SM.D
Meis3 ENSMUSG00000041420 MEIS3.1.S.D
Meox1 ENSMUSG00000001493 MEOX1.0.SM.D
Meox2 ENSMUSG00000036144 MEOX2.0.SM.D
Mesp1 ENSMUSG00000030544 MESP1.0.S.D
Mesp2 ENSMUSG00000030543 MESP2.0.S.D
Mga ENSMUSG00000033943 MGAP.0.P.C
Mga ENSMUSG00000033943 MGAP.1.S.B
Mitf ENSMUSG00000035158 MITF.0.P.B
Mixl1 ENSMUSG00000026497 MIXL1.0.SM.D
Mixl1 ENSMUSG00000026497 MIXL1.1.S.D
Mlx ENSMUSG00000017801 MLX.0.PM.A
Mlx ENSMUSG00000017801 MLX.1.SM.B
Mlxipl ENSMUSG00000005373 MLXPL.0.S.D
Mnt ENSMUSG00000000282 MNT.0.PS.A
Mnx1 ENSMUSG00000001566 MNX1.0.SM.D
Msgn1 ENSMUSG00000047002 MSGN1.0.PSM.A
Msx1 ENSMUSG00000048450 MSX1.0.SM.D
Msx1 ENSMUSG00000048450 MSX1.1.S.D
Msx2 ENSMUSG00000021469 MSX2.0.SM.D
Msx2 ENSMUSG00000021469 MSX2.1.SM.D
Mtf1 ENSMUSG00000028890 MTF1.0.SM.D
Msc ENSMUSG00000025930 MUSC.0.SM.D
Mxi1 ENSMUSG00000025025 MXI1.0.P.B
Myb ENSMUSG00000019982 MYB.0.P.B
Mybl1 ENSMUSG00000025912 MYBA.0.P.B
Mybl1 ENSMUSG00000025912 MYBA.1.PS.A
Mybl1 ENSMUSG00000025912 MYBA.2.S.B
Mybl2 ENSMUSG00000017861 MYBB.0.S.D
Mybl2 ENSMUSG00000017861 MYBB.1.S.D
Myc ENSMUSG00000022346 MYC.0.P.B
Mycn ENSMUSG00000037169 MYCN.0.PS.A
Mycn ENSMUSG00000037169 MYCN.1.M.C
Myf5 ENSMUSG00000000435 MYF5.0.P.B
Myf6 ENSMUSG00000035923 MYF6.0.SM.D
Mynn ENSMUSG00000037730 MYNN.0.P.B
Myod1 ENSMUSG00000009471 MYOD1.0.P.B
Myod1 ENSMUSG00000009471 MYOD1.1.PSM.A
Myog ENSMUSG00000026459 MYOG.0.PSM.A
Myt1l ENSMUSG00000061911 MYT1L.0.P.C
Nanog ENSMUSG00000012396 NANOG.0.P.B
Nanog ENSMUSG00000012396 NANOG.1.P.B
Nanog ENSMUSG00000012396 NANOG.2.M.C
Neurod1 ENSMUSG00000034701 NDF1.0.P.B
Neurod1 ENSMUSG00000034701 NDF1.1.S.C
Neurod2 ENSMUSG00000038255 NDF2.0.P.B
Neurod2 ENSMUSG00000038255 NDF2.1.S.B
Nfe2l1 ENSMUSG00000038615 NF2L1.0.P.B
Nfe2l2 ENSMUSG00000015839 NF2L2.0.P.B
Nfe2l2 ENSMUSG00000015839 NF2L2.1.P.B
Nfatc1 ENSMUSG00000033016 NFAC1.0.P.B
Nfatc1 ENSMUSG00000033016 NFAC1.1.PS.A
Nfatc1 ENSMUSG00000033016 NFAC1.2.SM.B
Nfatc1 ENSMUSG00000033016 NFAC1.3.SM.B
Nfatc2 ENSMUSG00000027544 NFAC2.0.P.B
Nfatc2 ENSMUSG00000027544 NFAC2.1.PS.A
Nfatc2 ENSMUSG00000027544 NFAC2.2.S.C
Nfatc2 ENSMUSG00000027544 NFAC2.3.M.C
Nfatc2 ENSMUSG00000027544 NFAC2.4.M.B
Nfatc3 ENSMUSG00000031902 NFAC3.0.SM.B
Nfatc3 ENSMUSG00000031902 NFAC3.1.P.C
Nfatc4 ENSMUSG00000023411 NFAC4.0.P.D
Nfatc4 ENSMUSG00000023411 NFAC4.1.SM.D
Nfat5 ENSMUSG00000003847 NFAT5.0.SM.B
Nfat5 ENSMUSG00000003847 NFAT5.1.PS.A
Nfe2 ENSMUSG00000058794 NFE2.0.P.B
Nfe2 ENSMUSG00000058794 NFE2.1.SM.B
Nfia ENSMUSG00000028565 NFIA.0.P.B
Nfia ENSMUSG00000028565 NFIA.1.PS.A
Nfib ENSMUSG00000008575 NFIB.0.PSM.A
Nfib ENSMUSG00000008575 NFIB.1.PS.A
Nfic ENSMUSG00000055053 NFIC.0.PSM.A
Nfic ENSMUSG00000055053 NFIC.1.PSM.A
Nfil3 ENSMUSG00000056749 NFIL3.0.P.B
Nfil3 ENSMUSG00000056749 NFIL3.1.S.B
Nfix ENSMUSG00000001911 NFIX.0.SM.D
Nfix ENSMUSG00000001911 NFIX.1.S.D
Nfkb1 ENSMUSG00000028163 NFKB1.0.PS.A
Nfkb2 ENSMUSG00000025225 NFKB2.0.PSM.A
Nfya ENSMUSG00000023994 NFYA.0.P.B
Nfyb ENSMUSG00000020248 NFYB.0.P.B
Nfyc ENSMUSG00000032897 NFYC.0.P.B
Neurog1 ENSMUSG00000048904 NGN1.0.SM.D
Neurog2 ENSMUSG00000027967 NGN2.0.P.B
Neurog2 ENSMUSG00000027967 NGN2.1.SM.B
Nkx2-1 ENSMUSG00000001496 NKX21.0.P.B
Nkx2-2 ENSMUSG00000027434 NKX22.0.P.B
Nkx2-3 ENSMUSG00000044220 NKX23.0.SM.D
Nkx2-5 ENSMUSG00000015579 NKX25.0.PSM.A
Nkx2-5 ENSMUSG00000015579 NKX25.1.P.B
Nkx2-9 ENSMUSG00000058669 NKX28.0.SM.D
Nkx3-1 ENSMUSG00000022061 NKX31.0.PSM.A
Nkx3-2 ENSMUSG00000049691 NKX32.0.PSM.A
Nkx3-2 ENSMUSG00000049691 NKX32.1.S.B
Nkx6-1 ENSMUSG00000035187 NKX61.0.PS.A
Nkx6-1 ENSMUSG00000035187 NKX61.1.P.B
Nkx6-1 ENSMUSG00000035187 NKX61.2.S.B
Nkx6-3 ENSMUSG00000063672 NKX63.0.SM.D
Noto ENSMUSG00000068302 NOTO.0.SM.D
Npas2 ENSMUSG00000026077 NPAS2.0.M.D
Npas2 ENSMUSG00000026077 NPAS2.1.M.D
Npas2 ENSMUSG00000026077 NPAS2.2.S.D
Npas3 ENSMUSG00000021010 NPAS3.0.P.C
Npas4 ENSMUSG00000045903 NPAS4.0.P.B
Nr1d1 ENSMUSG00000020889 NR1D1.0.P.B
Nr1d1 ENSMUSG00000020889 NR1D1.1.SM.B
Nr1d2 ENSMUSG00000021775 NR1D2.0.P.B
Nr1d2 ENSMUSG00000021775 NR1D2.1.SM.B
Nr1h2 ENSMUSG00000060601 NR1H2.0.P.C
Nr1h2 ENSMUSG00000060601 NR1H2.1.P.C
Nr1h3 ENSMUSG00000002108 NR1H3.0.P.B
Nr1h3 ENSMUSG00000002108 NR1H3.1.P.B
Nr1h4 ENSMUSG00000047638 NR1H4.0.P.B
Nr1h4 ENSMUSG00000047638 NR1H4.1.P.B
Nr1h4 ENSMUSG00000047638 NR1H4.2.P.B
Nr1i2 ENSMUSG00000022809 NR1I2.0.M.D
Nr1i2 ENSMUSG00000022809 NR1I2.1.S.D
Nr1i3 ENSMUSG00000005677 NR1I3.0.P.B
Nr1i3 ENSMUSG00000005677 NR1I3.1.PSM.A
Nr1i3 ENSMUSG00000005677 NR1I3.2.M.C
Nr2c1 ENSMUSG00000005897 NR2C1.0.S.C
Nr2c1 ENSMUSG00000005897 NR2C1.1.PM.A
Nr2c2 ENSMUSG00000005893 NR2C2.0.SM.B
Nr2c2 ENSMUSG00000005893 NR2C2.1.PS.A
Nr2e1 ENSMUSG00000019803 NR2E1.0.SM.D
Nr2e1 ENSMUSG00000019803 NR2E1.1.S.D
Nr2f6 ENSMUSG00000002393 NR2F6.0.P.C
Nr2f6 ENSMUSG00000002393 NR2F6.1.PSM.A
Nr2f6 ENSMUSG00000002393 NR2F6.2.SM.B
Nr2f6 ENSMUSG00000002393 NR2F6.3.SM.B
Nr4a1 ENSMUSG00000023034 NR4A1.0.PSM.A
Nr4a2 ENSMUSG00000026826 NR4A2.0.SM.D
Nr5a2 ENSMUSG00000026398 NR5A2.0.PSM.A
Nr6a1 ENSMUSG00000063972 NR6A1.0.P.C
Nr6a1 ENSMUSG00000063972 NR6A1.1.P.C
Nr6a1 ENSMUSG00000063972 NR6A1.2.SM.B
Nrf1 ENSMUSG00000058440 NRF1.0.PS.A
Nrl ENSMUSG00000040632 NRL.0.SM.D
Nrl ENSMUSG00000040632 NRL.1.SM.D
Olig1 ENSMUSG00000046160 OLIG1.0.S.D
Olig2 ENSMUSG00000039830 OLIG2.0.P.B
Olig2 ENSMUSG00000039830 OLIG2.1.P.B
Olig2 ENSMUSG00000039830 OLIG2.2.SM.B
Olig3 ENSMUSG00000045591 OLIG3.0.SM.D
Onecut2 ENSMUSG00000045991 ONEC2.0.S.B
Onecut2 ENSMUSG00000045991 ONEC2.1.PM.A
Onecut2 ENSMUSG00000045991 ONEC2.2.S.B
Onecut2 ENSMUSG00000045991 ONEC2.3.P.B
Onecut3 ENSMUSG00000045518 ONEC3.0.S.D
Onecut3 ENSMUSG00000045518 ONEC3.1.S.D
Onecut3 ENSMUSG00000045518 ONEC3.2.M.D
Osr1 ENSMUSG00000048387 OSR1.0.SM.D
Osr2 ENSMUSG00000022330 OSR2.0.PSM.A
Osr2 ENSMUSG00000022330 OSR2.1.M.C
Otx1 ENSMUSG00000005917 OTX1.0.SM.D
Otx1 ENSMUSG00000005917 OTX1.1.S.D
Otx2 ENSMUSG00000021848 OTX2.0.PSM.A
Ovol1 ENSMUSG00000024922 OVOL1.0.SM.D
Ovol2 ENSMUSG00000037279 OVOL2.0.PSM.A
Zfp146 ENSMUSG00000037029 OZF.0.P.B
Trp53 ENSMUSG00000059552 P53.0.P.B
Trp53 ENSMUSG00000059552 P53.1.S.C
Trp63 ENSMUSG00000022510 P63.0.PS.A
Trp63 ENSMUSG00000022510 P63.1.PS.A
Trp73 ENSMUSG00000029026 P73.0.PS.A
Trp73 ENSMUSG00000029026 P73.1.P.B
Pax1 ENSMUSG00000037034 PAX1.0.SM.D
Pax2 ENSMUSG00000004231 PAX2.0.SM.D
Pax3 ENSMUSG00000004872 PAX3.0.PS.A
Pax3 ENSMUSG00000004872 PAX3.1.SM.B
Pax3 ENSMUSG00000004872 PAX3.2.P.C
Pax3 ENSMUSG00000004872 PAX3.3.S.B
Pax4 ENSMUSG00000029706 PAX4.0.SM.D
Pax4 ENSMUSG00000029706 PAX4.1.S.D
Pax5 ENSMUSG00000014030 PAX5.0.PS.A
Pax6 ENSMUSG00000027168 PAX6.0.PSM.A
Pax7 ENSMUSG00000028736 PAX7.0.P.B
Pax7 ENSMUSG00000028736 PAX7.1.S.B
Pax7 ENSMUSG00000028736 PAX7.2.PM.A
Pax8 ENSMUSG00000026976 PAX8.0.PSM.A
Pax9 ENSMUSG00000001497 PAX9.0.SM.D
Pbx1 ENSMUSG00000052534 PBX1.0.P.B
Pbx1 ENSMUSG00000052534 PBX1.1.P.B
Pbx1 ENSMUSG00000052534 PBX1.2.P.B
Pbx2 ENSMUSG00000034673 PBX2.0.P.B
Pbx2 ENSMUSG00000034673 PBX2.1.P.C
Pbx2 ENSMUSG00000034673 PBX2.2.P.C
Pbx3 ENSMUSG00000038718 PBX3.0.P.B
Pbx3 ENSMUSG00000038718 PBX3.1.P.B
Pdx1 ENSMUSG00000029644 PDX1.0.P.B
Pdx1 ENSMUSG00000029644 PDX1.1.PSM.A
Phox2a ENSMUSG00000007946 PHX2A.0.PS.A
Phox2a ENSMUSG00000007946 PHX2A.1.SM.B
Phox2b ENSMUSG00000012520 PHX2B.0.PSM.A
Phox2b ENSMUSG00000012520 PHX2B.1.SM.B
Pou1f1 ENSMUSG00000004842 PIT1.0.SM.D
Pou1f1 ENSMUSG00000004842 PIT1.1.S.D
Pitx1 ENSMUSG00000021506 PITX1.0.PSM.A
Pitx1 ENSMUSG00000021506 PITX1.1.S.B
Pitx2 ENSMUSG00000028023 PITX2.0.SM.D
Pitx3 ENSMUSG00000025229 PITX3.0.SM.D
Pitx3 ENSMUSG00000025229 PITX3.1.S.D
Pknox1 ENSMUSG00000006705 PKNX1.0.P.B
Pknox1 ENSMUSG00000006705 PKNX1.1.P.B
Pknox1 ENSMUSG00000006705 PKNX1.2.SM.B
Pknox1 ENSMUSG00000006705 PKNX1.3.SM.B
Pknox2 ENSMUSG00000035934 PKNX2.0.SM.D
Pknox2 ENSMUSG00000035934 PKNX2.1.SM.D
Pou2f1 ENSMUSG00000026565 PO2F1.0.PS.A
Pou2f2 ENSMUSG00000008496 PO2F2.0.PSM.A
Pou2f2 ENSMUSG00000008496 PO2F2.1.M.C
Pou2f2 ENSMUSG00000008496 PO2F2.2.S.B
Pou2f3 ENSMUSG00000032015 PO2F3.0.PS.A
Pou2f3 ENSMUSG00000032015 PO2F3.1.S.C
Pou3f1 ENSMUSG00000090125 PO3F1.0.P.B
Pou3f1 ENSMUSG00000090125 PO3F1.1.PS.A
Pou3f1 ENSMUSG00000090125 PO3F1.2.S.C
Pou3f1 ENSMUSG00000090125 PO3F1.3.M.C
Pou3f2 ENSMUSG00000095139 PO3F2.0.P.B
Pou3f2 ENSMUSG00000095139 PO3F2.1.S.B
Pou3f2 ENSMUSG00000095139 PO3F2.2.SM.B
Pou3f3 ENSMUSG00000045515 PO3F3.0.P.C
Pou3f3 ENSMUSG00000045515 PO3F3.1.P.C
Pou3f3 ENSMUSG00000045515 PO3F3.2.S.B
Pou3f4 ENSMUSG00000056854 PO3F4.0.SM.D
Pou4f1 ENSMUSG00000048349 PO4F1.0.S.D
Pou4f1 ENSMUSG00000048349 PO4F1.1.SM.D
Pou4f2 ENSMUSG00000031688 PO4F2.0.S.D
Pou4f3 ENSMUSG00000024497 PO4F3.0.SM.D
Pou5f1 ENSMUSG00000024406 PO5F1.0.P.B
Pou5f1 ENSMUSG00000024406 PO5F1.1.P.B
Pou5f1 ENSMUSG00000024406 PO5F1.2.SM.B
Pou6f1 ENSMUSG00000009739 PO6F1.0.SM.D
Pou6f2 ENSMUSG00000009734 PO6F2.0.S.D
Ppara ENSMUSG00000022383 PPARA.0.P.B
Ppara ENSMUSG00000022383 PPARA.1.P.B
Ppard ENSMUSG00000002250 PPARD.0.PSM.A
Pparg ENSMUSG00000000440 PPARG.0.P.B
Pparg ENSMUSG00000000440 PPARG.1.P.B
Prdm13 ENSMUSG00000040478 PRD13.0.P.B
Prdm14 ENSMUSG00000042414 PRD14.0.P.B
Prdm15 ENSMUSG00000014039 PRD15.0.P.B
Prdm16 ENSMUSG00000039410 PRD16.0.P.B
Prdm1 ENSMUSG00000038151 PRDM1.0.S.B
Prdm1 ENSMUSG00000038151 PRDM1.1.PS.A
Prdm4 ENSMUSG00000035529 PRDM4.0.PSM.A
Prdm5 ENSMUSG00000029913 PRDM5.0.P.B
Prdm5 ENSMUSG00000029913 PRDM5.1.P.B
Prdm6 ENSMUSG00000069378 PRDM6.0.P.B
Prdm9 ENSMUSG00000051977 PRDM9.0.P.B
Pgr ENSMUSG00000031870 PRGR.0.P.B
Pgr ENSMUSG00000031870 PRGR.1.P.B
Prop1 ENSMUSG00000044542 PROP1.0.PSM.A
Prop1 ENSMUSG00000044542 PROP1.1.P.C
Prox1 ENSMUSG00000010175 PROX1.0.SM.D
Prrx1 ENSMUSG00000026586 PRRX1.0.S.D
Prrx1 ENSMUSG00000026586 PRRX1.1.S.D
Prrx2 ENSMUSG00000039476 PRRX2.0.SM.D
Prrx2 ENSMUSG00000039476 PRRX2.1.S.D
Ptf1a ENSMUSG00000026735 PTF1A.0.P.B
Ptf1a ENSMUSG00000026735 PTF1A.1.PS.A
Rara ENSMUSG00000037992 RARA.0.PSM.A
Rara ENSMUSG00000037992 RARA.1.P.B
Rara ENSMUSG00000037992 RARA.2.P.B
Rara ENSMUSG00000037992 RARA.3.P.B
Rarb ENSMUSG00000017491 RARB.0.SM.B
Rarb ENSMUSG00000017491 RARB.1.P.B
Rarg ENSMUSG00000001288 RARG.0.P.B
Rarg ENSMUSG00000001288 RARG.1.PSM.A
Rarg ENSMUSG00000001288 RARG.2.SM.B
Rarg ENSMUSG00000001288 RARG.3.S.B
Rbak ENSMUSG00000061898 RBAK.0.P.C
Rel ENSMUSG00000020275 REL.0.P.B
Relb ENSMUSG00000002983 RELB.0.P.B
Rest ENSMUSG00000029249 REST.0.P.B
Rfx1 ENSMUSG00000031706 RFX1.0.PM.A
Rfx1 ENSMUSG00000031706 RFX1.1.PSM.A
Rfx1 ENSMUSG00000031706 RFX1.2.S.C
Rfx2 ENSMUSG00000024206 RFX2.0.PS.A
Rfx2 ENSMUSG00000024206 RFX2.1.PSM.A
Rfx3 ENSMUSG00000040929 RFX3.0.PSM.A
Rfx3 ENSMUSG00000040929 RFX3.1.PS.A
Rfx3 ENSMUSG00000040929 RFX3.2.S.B
Rfx4 ENSMUSG00000020037 RFX4.0.SM.D
Rfx5 ENSMUSG00000005774 RFX5.0.P.B
Rfx5 ENSMUSG00000005774 RFX5.1.PSM.A
Rfx5 ENSMUSG00000005774 RFX5.2.S.B
Rfx6 ENSMUSG00000019900 RFX6.0.P.C
Rora ENSMUSG00000032238 RORA.0.P.C
Rorb ENSMUSG00000036192 RORB.0.SM.D
Rorc ENSMUSG00000028150 RORG.0.M.C
Rorc ENSMUSG00000028150 RORG.1.PS.A
Runx1 ENSMUSG00000022952 RUNX1.0.P.B
Runx2 ENSMUSG00000039153 RUNX2.0.P.B
Runx2 ENSMUSG00000039153 RUNX2.1.S.B
Runx2 ENSMUSG00000039153 RUNX2.2.M.C
Runx3 ENSMUSG00000070691 RUNX3.0.P.B
Runx3 ENSMUSG00000070691 RUNX3.1.S.B
Runx3 ENSMUSG00000070691 RUNX3.2.S.B
Rax ENSMUSG00000024518 RX.0.SM.D
Rxra ENSMUSG00000015846 RXRA.0.PS.A
Rxra ENSMUSG00000015846 RXRA.1.S.C
Rxra ENSMUSG00000015846 RXRA.2.SM.B
Rxra ENSMUSG00000015846 RXRA.3.P.B
Rxrb ENSMUSG00000039656 RXRB.0.P.C
Rxrb ENSMUSG00000039656 RXRB.1.SM.B
Rxrb ENSMUSG00000039656 RXRB.2.PS.A
Rxrg ENSMUSG00000015843 RXRG.0.P.B
Rxrg ENSMUSG00000015843 RXRG.1.SM.B
Rxrg ENSMUSG00000015843 RXRG.2.P.B
Sall1 ENSMUSG00000031665 SALL1.0.P.C
Sall4 ENSMUSG00000027547 SALL4.0.P.B
Satb1 ENSMUSG00000023927 SATB1.0.P.B
Satb1 ENSMUSG00000023927 SATB1.1.P.B
Scrt1 ENSMUSG00000048385 SCRT1.0.PSM.A
Scrt2 ENSMUSG00000060257 SCRT2.0.PSM.A
Shox2 ENSMUSG00000027833 SHOX2.0.S.D
Shox2 ENSMUSG00000027833 SHOX2.1.S.D
Six1 ENSMUSG00000051367 SIX1.0.P.B
Six1 ENSMUSG00000051367 SIX1.1.SM.B
Six2 ENSMUSG00000024134 SIX2.0.P.B
Six2 ENSMUSG00000024134 SIX2.1.M.C
Six2 ENSMUSG00000024134 SIX2.2.SM.B
Six3 ENSMUSG00000038805 SIX3.0.SM.D
Six4 ENSMUSG00000034460 SIX4.0.P.B
Six4 ENSMUSG00000034460 SIX4.1.M.C
Six6 ENSMUSG00000021099 SIX6.0.SM.D
Skor1 ENSMUSG00000022245 SKOR1.0.M.D
Skor1 ENSMUSG00000022245 SKOR1.1.S.D
Skor2 ENSMUSG00000091519 SKOR2.0.SM.D
Smad2 ENSMUSG00000024563 SMAD2.0.P.B
Smad2 ENSMUSG00000024563 SMAD2.1.P.B
Smad3 ENSMUSG00000032402 SMAD3.0.S.B
Smad3 ENSMUSG00000032402 SMAD3.1.P.B
Smad3 ENSMUSG00000032402 SMAD3.2.P.C
Smad4 ENSMUSG00000024515 SMAD4.0.P.B
Smad4 ENSMUSG00000024515 SMAD4.1.P.B
Smad5 ENSMUSG00000021540 SMAD5.0.M.D
Snai1 ENSMUSG00000042821 SNAI1.0.PSM.A
Snai2 ENSMUSG00000022676 SNAI2.0.PSM.A
Snai3 ENSMUSG00000006587 SNAI3.0.S.D
Sohlh2 ENSMUSG00000027794 SOLH2.0.S.D
Sox1 ENSMUSG00000096014 SOX1.0.S.D
Sox1 ENSMUSG00000096014 SOX1.1.S.D
Sox10 ENSMUSG00000033006 SOX10.0.PSM.A
Sox10 ENSMUSG00000033006 SOX10.1.PSM.A
Sox10 ENSMUSG00000033006 SOX10.2.S.C
Sox11 ENSMUSG00000063632 SOX11.0.P.B
Sox11 ENSMUSG00000063632 SOX11.1.S.B
Sox12 ENSMUSG00000051817 SOX12.0.SM.D
Sox13 ENSMUSG00000070643 SOX13.0.P.B
Sox14 ENSMUSG00000053747 SOX14.0.SM.D
Sox15 ENSMUSG00000041287 SOX15.0.P.B
Sox17 ENSMUSG00000025902 SOX17.0.PS.A
Sox17 ENSMUSG00000025902 SOX17.1.P.B
Sox17 ENSMUSG00000025902 SOX17.2.S.C
Sox18 ENSMUSG00000046470 SOX18.0.SM.D
Sox2 ENSMUSG00000074637 SOX2.0.P.B
Sox2 ENSMUSG00000074637 SOX2.1.P.B
Sox2 ENSMUSG00000074637 SOX2.2.S.B
Sox2 ENSMUSG00000074637 SOX2.3.S.B
Sox21 ENSMUSG00000061517 SOX21.0.S.D
Sox3 ENSMUSG00000045179 SOX3.0.PM.A
Sox3 ENSMUSG00000045179 SOX3.1.S.C
Sox30 ENSMUSG00000040489 SOX30.0.P.C
Sox30 ENSMUSG00000040489 SOX30.1.SM.B
Sox4 ENSMUSG00000076431 SOX4.0.PSM.A
Sox5 ENSMUSG00000041540 SOX5.0.P.B
Sox6 ENSMUSG00000051910 SOX6.0.P.B
Sox7 ENSMUSG00000063060 SOX7.0.PS.A
Sox7 ENSMUSG00000063060 SOX7.1.SM.B
Sox8 ENSMUSG00000024176 SOX8.0.PSM.A
Sox8 ENSMUSG00000024176 SOX8.1.PS.A
Sox9 ENSMUSG00000000567 SOX9.0.PS.A
Sox9 ENSMUSG00000000567 SOX9.1.PS.A
Sox9 ENSMUSG00000000567 SOX9.2.S.B
Sp1 ENSMUSG00000001280 SP1.0.P.B
Sp1 ENSMUSG00000001280 SP1.1.SM.B
Sp1 ENSMUSG00000001280 SP1.2.P.B
Sp2 ENSMUSG00000018678 SP2.0.P.D
Sp2 ENSMUSG00000018678 SP2.1.P.B
Sp3 ENSMUSG00000027109 SP3.0.P.B
Sp3 ENSMUSG00000027109 SP3.1.S.B
Sp4 ENSMUSG00000025323 SP4.0.P.C
Sp4 ENSMUSG00000025323 SP4.1.S.B
Sp4 ENSMUSG00000025323 SP4.2.P.B
Sp5 ENSMUSG00000075304 SP5.0.P.B
Sp5 ENSMUSG00000075304 SP5.1.P.B
Sp7 ENSMUSG00000060284 SP7.0.P.B
Sp8 ENSMUSG00000048562 SP8.0.SM.D
Sp9 ENSMUSG00000068859 SP9.0.P.B
Sp9 ENSMUSG00000068859 SP9.1.S.C
Spdef ENSMUSG00000024215 SPDEF.0.PSM.A
Spdef ENSMUSG00000024215 SPDEF.1.SM.B
Spi1 ENSMUSG00000002111 SPI1.0.P.B
Spi1 ENSMUSG00000002111 SPI1.1.S.B
Spib ENSMUSG00000008193 SPIB.0.P.B
Spib ENSMUSG00000008193 SPIB.1.S.C
Spib ENSMUSG00000008193 SPIB.2.SM.B
Srebf1 ENSMUSG00000020538 SRBP1.0.P.B
Srebf1 ENSMUSG00000020538 SRBP1.1.S.C
Srebf2 ENSMUSG00000022463 SRBP2.0.S.B
Srebf2 ENSMUSG00000022463 SRBP2.1.P.B
Srebf2 ENSMUSG00000022463 SRBP2.2.M.C
Srf ENSMUSG00000015605 SRF.0.PSM.A
Sry ENSMUSG00000069036 SRY.0.S.D
Sry ENSMUSG00000069036 SRY.1.S.D
Stat5a ENSMUSG00000004043 STA5A.0.P.B
Stat5b ENSMUSG00000020919 STA5B.0.P.B
Stat1 ENSMUSG00000026104 STAT1.0.P.B
Stat1 ENSMUSG00000026104 STAT1.1.P.B
Stat2 ENSMUSG00000040033 STAT2.0.P.B
Stat3 ENSMUSG00000004040 STAT3.0.P.B
Stat4 ENSMUSG00000062939 STAT4.0.P.B
Stat6 ENSMUSG00000002147 STAT6.0.P.B
Nr5a1 ENSMUSG00000026751 STF1.0.PSM.A
Rbpj ENSMUSG00000039191 SUH.0.P.B
Taf1 ENSMUSG00000031314 TAF1.0.P.B
Tal1 ENSMUSG00000028717 TAL1.0.P.B
Tal1 ENSMUSG00000028717 TAL1.1.P.B
Tal1 ENSMUSG00000028717 TAL1.2.P.B
Tbp ENSMUSG00000014767 TBP.0.P.B
