SYMBOL ENSEMBL HOCOID
Cux1 ENSMUSG00000029705 CUX1.1.S.B
Cux1 ENSMUSG00000029705 CUX1.2.P.C
Cux2 ENSMUSG00000042589 CUX2.0.P.C
Cux2 ENSMUSG00000042589 CUX2.1.SM.B
Cux2 ENSMUSG00000042589 CUX2.2.S.C
Dbp ENSMUSG00000059824 DBP.0.SM.D
Ddit3 ENSMUSG00000025408 DDIT3.0.P.B
Dlx1 ENSMUSG00000041911 DLX1.0.S.B
Dlx1 ENSMUSG00000041911 DLX1.1.PSM.A
Dlx2 ENSMUSG00000023391 DLX2.0.PSM.A
Dlx2 ENSMUSG00000023391 DLX2.1.S.B
Dlx3 ENSMUSG00000001510 DLX3.0.SM.D
Dlx3 ENSMUSG00000001510 DLX3.1.S.D
Dlx4 ENSMUSG00000020871 DLX4.0.SM.D
Dlx4 ENSMUSG00000020871 DLX4.1.S.D
Dlx5 ENSMUSG00000029755 DLX5.0.PSM.A
Dlx6 ENSMUSG00000029754 DLX6.0.SM.D
Dmbx1 ENSMUSG00000028707 DMBX1.0.SM.D
Dmrt1 ENSMUSG00000024837 DMRT1.0.PS.A
Dmrt1 ENSMUSG00000024837 DMRT1.1.M.C
Dmrt3 ENSMUSG00000042372 DMRT3.0.S.D
Dmrta1 ENSMUSG00000043753 DMRTA.0.SM.D
Dmrtb1 ENSMUSG00000028610 DMRTB.0.P.C
Dmrtc2 ENSMUSG00000011349 DMRTD.0.SM.D
Dmrta2 ENSMUSG00000047143 DMTA2.0.SM.D
Dpf1 ENSMUSG00000030584 DPF1.0.SM.D
Drgx ENSMUSG00000041730 DRGX.0.S.D
Drgx ENSMUSG00000041730 DRGX.1.SM.D
E2f1 ENSMUSG00000027490 E2F1.0.P.B
E2f1 ENSMUSG00000027490 E2F1.1.S.B
E2f2 ENSMUSG00000018983 E2F2.0.S.D
E2f3 ENSMUSG00000016477 E2F3.0.P.B
E2f3 ENSMUSG00000016477 E2F3.1.SM.B
E2f4 ENSMUSG00000014859 E2F4.0.P.B
E2f4 ENSMUSG00000014859 E2F4.1.P.B
E2f4 ENSMUSG00000014859 E2F4.2.S.B
E2f6 ENSMUSG00000057469 E2F6.0.P.B
E2f7 ENSMUSG00000020185 E2F7.0.S.C
E2f7 ENSMUSG00000020185 E2F7.1.P.B
E2f8 ENSMUSG00000046179 E2F8.0.P.C
E2f8 ENSMUSG00000046179 E2F8.1.SM.B
E4f1 ENSMUSG00000024137 E4F1.0.P.B
Egr1 ENSMUSG00000038418 EGR1.0.PS.A
Egr2 ENSMUSG00000037868 EGR2.0.PSM.A
Egr3 ENSMUSG00000033730 EGR3.0.PSM.A
Egr4 ENSMUSG00000071341 EGR4.0.S.D
Ehf ENSMUSG00000012350 EHF.0.P.B
Elf1 ENSMUSG00000036461 ELF1.0.PSM.A
Elf2 ENSMUSG00000037174 ELF2.0.PS.A
Elf2 ENSMUSG00000037174 ELF2.1.M.B
Elf3 ENSMUSG00000003051 ELF3.0.S.B
Elf3 ENSMUSG00000003051 ELF3.1.PM.A
Elf4 ENSMUSG00000031103 ELF4.0.PS.A
Elf4 ENSMUSG00000031103 ELF4.1.M.B
Elf5 ENSMUSG00000027186 ELF5.0.PSM.A
Elf5 ENSMUSG00000027186 ELF5.1.S.B
Elk1 ENSMUSG00000009406 ELK1.0.PSM.A
Elk3 ENSMUSG00000008398 ELK3.0.PSM.A
Elk4 ENSMUSG00000026436 ELK4.0.PSM.A
Emx1 ENSMUSG00000033726 EMX1.0.SM.D
Emx2 ENSMUSG00000043969 EMX2.0.S.D
Eomes ENSMUSG00000032446 EOMES.0.PSM.A
Epas1 ENSMUSG00000024140 EPAS1.0.P.B
Erf ENSMUSG00000040857 ERF.0.PS.A
Erg ENSMUSG00000040732 ERG.0.P.B
Erg ENSMUSG00000040732 ERG.1.SM.B
Esrra ENSMUSG00000024955 ERR1.0.PSM.A
Esrrb ENSMUSG00000021255 ERR2.0.PSM.A
Esrrg ENSMUSG00000026610 ERR3.0.PSM.A
Esr1 ENSMUSG00000019768 ESR1.0.P.B
Esr1 ENSMUSG00000019768 ESR1.1.P.B
Esr2 ENSMUSG00000021055 ESR2.0.P.B
Esr2 ENSMUSG00000021055 ESR2.1.P.B
Ets1 ENSMUSG00000032035 ETS1.0.S.B
Ets1 ENSMUSG00000032035 ETS1.1.P.B
Ets2 ENSMUSG00000022895 ETS2.0.S.C
Ets2 ENSMUSG00000022895 ETS2.1.P.B
Etv1 ENSMUSG00000004151 ETV1.0.PSM.A
Etv1 ENSMUSG00000004151 ETV1.1.PM.A
Etv2 ENSMUSG00000006311 ETV2.0.S.B
Etv2 ENSMUSG00000006311 ETV2.1.PM.A
Etv3 ENSMUSG00000003382 ETV3.0.SM.D
Etv4 ENSMUSG00000017724 ETV4.0.P.B
Etv4 ENSMUSG00000017724 ETV4.1.SM.B
Etv5 ENSMUSG00000013089 ETV5.0.PS.A
Etv5 ENSMUSG00000013089 ETV5.1.PM.A
Etv6 ENSMUSG00000030199 ETV6.0.PS.A
Etv6 ENSMUSG00000030199 ETV6.1.P.B
Evx1 ENSMUSG00000005503 EVX1.0.SM.D
Evx2 ENSMUSG00000001815 EVX2.0.SM.D
Evx2 ENSMUSG00000001815 EVX2.1.S.D
Ferd3l ENSMUSG00000046518 FER3L.0.SM.D
Fev ENSMUSG00000055197 FEV.0.S.B
Fezf1 ENSMUSG00000029697 FEZF1.0.P.B
Figla ENSMUSG00000030001 FIGLA.0.SM.D
Fli1 ENSMUSG00000016087 FLI1.0.PSM.A
Fli1 ENSMUSG00000016087 FLI1.1.P.B
Fos ENSMUSG00000021250 FOS.0.P.B
Fos ENSMUSG00000021250 FOS.1.S.C
Fos ENSMUSG00000021250 FOS.2.S.C
Fosb ENSMUSG00000003545 FOSB.0.P.B
Fosb ENSMUSG00000003545 FOSB.1.M.C
Fosb ENSMUSG00000003545 FOSB.2.M.C
Fosl1 ENSMUSG00000024912 FOSL1.0.P.B
Fosl2 ENSMUSG00000029135 FOSL2.0.P.B
Foxa1 ENSMUSG00000035451 FOXA1.0.P.B
Foxa1 ENSMUSG00000035451 FOXA1.1.S.C
Foxa2 ENSMUSG00000037025 FOXA2.0.PSM.A
Foxa2 ENSMUSG00000037025 FOXA2.1.SM.B
